School Name,State Name [Public School] Latest available year,State Name [Public School] 2023-24,State Abbr [Public School] Latest available year,School Name [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (12-digit) - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year,County Name [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,Location ZIP [Public School] 2023-24,Location ZIP4 [Public School] 2023-24
HOUSTON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Houston ES,1100181,1.10003E+11,11,District of Columbia,281,1,0,4,307,21,0,0,–,–,–,9.88,20019,    
HOWARD UNIVERSITY MS OF MATHEMATICS AND SCIENCE PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Howard University MS of Mathematics and Science PCS,1100308,1.10006E+11,11,District of Columbia,241,0,0,1,253,9,1,1,–,–,–,7.44,20059,    
HYDE-ADDISON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Hyde-Addison ES,1100180,1.10003E+11,11,District of Columbia,148,140,0,35,396,46,26,1,–,–,–,12.93,20007,    
I DREAM PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,I Dream PCS,1100538,1.10011E+11,11,District of Columbia,74,3,0,2,84,5,0,0,–,–,–,6.46,20020,    
IDA B. WELLS MS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Ida B. Wells MS,1100524,1.10003E+11,11,District of Columbia,294,7,0,8,540,226,4,1,–,–,–,11.41,20011,    
IDEA PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,IDEA PCS,1100227,1.10001E+11,11,District of Columbia,291,0,0,1,308,16,0,0,–,–,–,11.04,20019,    
INGENUITY PREP PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Ingenuity Prep PCS,1100460,1.10009E+11,11,District of Columbia,774,0,1,0,792,15,1,1,–,–,–,8.16,20032,    
INSPIRED TEACHING DEMONSTRATION PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Inspired Teaching Demonstration PCS,1100437,1.10008E+11,11,District of Columbia,233,182,0,43,521,45,16,2,–,–,–,12.14,20002,    
J.O. WILSON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,J.O. Wilson ES,1100062,1.10003E+11,11,District of Columbia,361,49,0,19,464,33,2,0,–,–,–,11.3,20002,    
JACKSON-REED HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Jackson-Reed HS,1100133,1.10003E+11,11,District of Columbia,556,718,3,88,1989,509,108,7,–,–,–,14.25,20016,    
JANNEY ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Janney ES,1100179,1.10003E+11,11,District of Columbia,35,459,0,80,681,67,38,2,–,–,–,12.65,20016,    
JEFFERSON MS ACADEMY,District of Columbia,DISTRICT OF COLUMBIA,DC ,Jefferson MS Academy,1100453,1.10003E+11,11,District of Columbia,352,13,0,4,406,29,5,3,–,–,–,13.98,20024,    
JOHN LEWIS ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,John Lewis ES,1100067,1.10003E+11,11,District of Columbia,214,132,0,11,493,123,11,2,–,–,–,11.88,20011,    
JOHNSON MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Johnson MS,1100144,1.10003E+11,11,District of Columbia,293,1,0,0,297,3,0,0,–,–,–,9.74,20020,    
KELLY MILLER MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Kelly Miller MS,1100272,1.10003E+11,11,District of Columbia,253,1,0,0,289,35,0,0,–,–,–,9.03,20019,    
KETCHAM ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Ketcham ES,1100176,1.10003E+11,11,District of Columbia,239,1,0,0,250,10,0,0,–,–,–,10.62,20020,    
KEY ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Key ES,1100174,1.10003E+11,11,District of Columbia,31,230,1,29,347,37,19,0,–,–,–,12.18,20016,    
KIMBALL ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Kimball ES,1100173,1.10003E+11,11,District of Columbia,368,0,0,2,374,3,0,1,–,–,–,11.98,20019,    
KING ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,King ES,1100102,1.10003E+11,11,District of Columbia,199,0,0,1,202,2,0,0,–,–,–,8.06,20032,    
KINGSMAN ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Kingsman Academy PCS,1100502,1.1001E+11,11,District of Columbia,319,1,0,2,326,4,0,0,–,–,–,13.58,20002,    
KIPP DC - AIM ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - AIM Academy PCS,1100381,1.10003E+11,11,District of Columbia,428,0,0,3,435,3,0,1,–,–,–,11.94,20020,    
KIPP DC - ARTS AND TECHNOLOGY ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,KIPP DC - Arts and Technology Academy PCS,1100489,1.10003E+11,11,District of Columbia,266,0,0,0,270,1,2,1,–,–,–,15.08,20019,    
KIPP DC - COLLEGE PREPARATORY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - College Preparatory PCS,1100421,1.10003E+11,11,District of Columbia,675,0,0,0,696,20,0,1,–,–,–,11.82,20002,    
